Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Details,Event Type,Location,Dining Option,Customer ID,Customer Name,Customer Reference ID,Unit,Count,Itemization Type,Fulfillment Note,Channel,Token,Card Brand,PAN Suffix
2025-06-18,08:29:24,Arizona,Specialty Espresso,Go Bananas Girl,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,US$0.00,US$7.50,US$0.42,Z6N6R06hyJjMCUJmWR5X9DsZuwMZY,XHQjtyU5xUYU8I2SFNZBhusButXZY,Square Terminal 4334,"Chocolate, Banana, Hazelnut + topped with whip cream & choco drizzle",https://app.squareup.com/dashboard/sales/transactions/Z6N6R06hyJjMCUJmWR5X9DsZuwMZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,KTRNOWCOKJPRKPT44TCF5C2D,Visa,7526
2025-06-18,08:26:43,Arizona,June specials,Banana puddin,1.0,Regular,,"Iced 24 oz, Whole",US$8.00,US$0.00,US$8.00,US$0.45,n3Wruu66mvbjP7qN19kRMVkHEeKZY,x6nV3flaicAZSgbatS6nl40WZnBZY,Square Terminal 4334,"Latte with banana, white choco, brown sugar cinnamon, and sea salt with banana cold foam and graham cracker",https://app.squareup.com/dashboard/sales/transactions/n3Wruu66mvbjP7qN19kRMVkHEeKZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,H58C1FAYYKJJH1PXSR3B0Q1ZKW,,,ea,1,Physical Good,,Toasted Bean Coffee,XHHDSCWYN73V7JCYMJYCNCYJ,Visa,3389
2025-06-18,08:25:11,Arizona,June specials,Sour cactus punch,1.0,Regular,,Vanilla CF,US$7.00,US$0.00,US$7.00,US$0.39,V81dD1u9RFu715DzRVWfaqWvb7AZY,d4jrId3zOLMQ6znFMy4NXK1HQdLZY,Square Terminal 4334,Lemonade with sour candy syrup and a sour candy on top,https://app.squareup.com/dashboard/sales/transactions/V81dD1u9RFu715DzRVWfaqWvb7AZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,RBK44BG3QX2KUDLIZHXBW3AH,Visa,4946
2025-06-18,08:24:16,Arizona,Specialty Energy Drinks,Peachy Keen,1.0,Regular,,,US$7.00,US$0.00,US$7.00,US$0.39,xgEjxDERPW1125M15NwZSx6GnDHZY,pgmYO3JAID3dx5GxLZwjDgFNHgAZY,Square Terminal 4334,"Pink Base+ Peach, Passionfruit & Mango + Edible Glitter",https://app.squareup.com/dashboard/sales/transactions/xgEjxDERPW1125M15NwZSx6GnDHZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,TBIDD3UIISMAGT4IXJUJ3BDG,Visa,60
2025-06-18,08:11:38,Arizona,Espresso Basics,Latte,1.0,,,"Iced 24 oz, Caramel, Whole",US$6.50,US$0.00,US$6.50,US$0.36,DPDXeQxyOCOeayV7J1DByLVxF8QZY,fJ7HUE1g734UCOS2LqeDQz04HJJZY,Square Terminal 4334,,https://app.squareup.com/dashboard/sales/transactions/DPDXeQxyOCOeayV7J1DByLVxF8QZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,BBYPN4GBWJKTYO3JCNVABUAC,Visa,5551
2025-06-18,08:11:38,Arizona,Crochet Goods,Bookmark,1.0,Regular,,,US$15.00,US$0.00,US$15.00,US$0.84,DPDXeQxyOCOeayV7J1DByLVxF8QZY,fJ7HUE1g734UCOS2LqeDQz04HJJZY,Square Terminal 4334,,https://app.squareup.com/dashboard/sales/transactions/DPDXeQxyOCOeayV7J1DByLVxF8QZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,IHLMVP6F5QBM5EFXEYOCFUHW,Visa,5551
2025-06-18,08:07:44,Arizona,Non-coffee,Matcha Latte,1.0,Regular,,"Iced 24 oz, Brown sugar cinnamon, Oat milk",US$7.50,US$0.00,US$7.50,US$0.42,X1DckCQmkdG45ccpAJA2peKz7AgZY,3pH00tRFBpEHcVsAVn8Cz6CtvkcZY,Square Terminal 4334,Comes sweetened with vanilla unless specified,https://app.squareup.com/dashboard/sales/transactions/X1DckCQmkdG45ccpAJA2peKz7AgZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,QDPHO3A4RSZT5VAWBHDUE2IP,Visa,7074
2025-06-18,08:02:06,Arizona,Espresso Basics,Americano,1.0,Regular,,"Iced 24 oz, Half and half",US$5.00,US$0.00,US$5.00,US$0.28,heZE9NByuuaK1eacXdrIAOQrNDZZY,z1CcTRxRj4Sy95j2aX0zhjXw2dBZY,Square Terminal 4334,,https://app.squareup.com/dashboard/sales/transactions/heZE9NByuuaK1eacXdrIAOQrNDZZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,ZVIJ6RCCAAWVDHOYXXN3NLXZ,,
2025-06-18,08:01:18,Arizona,June specials,Sour cactus punch,1.0,Regular,,Vanilla CF,US$7.00,US$0.00,US$7.00,US$0.39,xWnFQvObdJrPRZuqb98biafGGSeZY,1WIFUSQjQRP7TdwvveEBdmIwIcXZY,Square Terminal 4334,Lemonade with sour candy syrup and a sour candy on top,https://app.squareup.com/dashboard/sales/transactions/xWnFQvObdJrPRZuqb98biafGGSeZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,RBK44BG3QX2KUDLIZHXBW3AH,Visa,4431
2025-06-18,08:01:18,Arizona,Specialty Espresso,#BASIC,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,US$0.00,US$7.50,US$0.42,xWnFQvObdJrPRZuqb98biafGGSeZY,1WIFUSQjQRP7TdwvveEBdmIwIcXZY,Square Terminal 4334,"Caramel, Vanilla + topped with Vanilla Cold Foam & Sea Salt Caramel Drizzle",https://app.squareup.com/dashboard/sales/transactions/xWnFQvObdJrPRZuqb98biafGGSeZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,ACO2COLLPSGAV6ZTWOUEJCQR,Visa,4431
2025-06-18,08:01:18,Arizona,Espresso Basics,Latte,1.0,,,"Iced 24 oz, Caramel, Whole",US$6.50,US$0.00,US$6.50,US$0.37,xWnFQvObdJrPRZuqb98biafGGSeZY,1WIFUSQjQRP7TdwvveEBdmIwIcXZY,Square Terminal 4334,,https://app.squareup.com/dashboard/sales/transactions/xWnFQvObdJrPRZuqb98biafGGSeZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,BBYPN4GBWJKTYO3JCNVABUAC,Visa,4431
2025-06-18,08:00:17,Arizona,June specials,Sour cactus punch,1.0,Regular,,Vanilla CF,US$7.00,US$0.00,US$7.00,US$0.39,hSpn1XjKINJyehgJLGTO8SIaDIGZY,PjYZUXshK5AqOmAOfZnaLU9rDl9YY,Square Terminal 4334,Lemonade with sour candy syrup and a sour candy on top,https://app.squareup.com/dashboard/sales/transactions/hSpn1XjKINJyehgJLGTO8SIaDIGZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,RBK44BG3QX2KUDLIZHXBW3AH,Visa,494
2025-06-18,07:51:55,Arizona,June specials,Banana puddin,1.0,Regular,,"Iced 24 oz, Whole",US$8.00,US$0.00,US$8.00,US$0.45,1mCFJAh28DWQ2zCRpFmXC5VLJ4ZZY,r7x9JpN82BnRptmZeZxEe0WPHxJZY,Square Terminal 4334,"Latte with banana, white choco, brown sugar cinnamon, and sea salt with banana cold foam and graham cracker",https://app.squareup.com/dashboard/sales/transactions/1mCFJAh28DWQ2zCRpFmXC5VLJ4ZZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,XHHDSCWYN73V7JCYMJYCNCYJ,Visa,6907
2025-06-18,07:51:55,Arizona,Non-coffee,Matcha Latte,1.0,Regular,,"Iced 24 oz, Strawberry SF, Whole",US$7.00,-US$7.00,US$0.00,US$0.00,1mCFJAh28DWQ2zCRpFmXC5VLJ4ZZY,r7x9JpN82BnRptmZeZxEe0WPHxJZY,Square Terminal 4334,Comes sweetened with vanilla unless specified,https://app.squareup.com/dashboard/sales/transactions/1mCFJAh28DWQ2zCRpFmXC5VLJ4ZZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,QDPHO3A4RSZT5VAWBHDUE2IP,Visa,6907
2025-06-18,07:39:42,Arizona,Specialty Espresso,#BASIC,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,US$0.00,US$7.50,US$0.42,T5SSONtUOtGhOPn3MxQhsYvoa47YY,jpyjuzBZ1T59b9a9Q1nsxVeLORHZY,Square Terminal 4334,"Caramel, Vanilla + topped with Vanilla Cold Foam & Sea Salt Caramel Drizzle",https://app.squareup.com/dashboard/sales/transactions/T5SSONtUOtGhOPn3MxQhsYvoa47YY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,FAQD97NHJGXRFDGQBC30Q97QX0,,,ea,1,Physical Good,,Toasted Bean Coffee,ACO2COLLPSGAV6ZTWOUEJCQR,Visa,4160
2025-06-18,07:39:03,Arizona,Espresso Basics,Americano,1.0,Regular,,"Hot 16 oz, Vanilla, Half and half",US$5.50,US$0.00,US$5.50,US$0.31,JqDTNjSJQX6EG6yi1MwtPEcuY6fZY,DPv2R4RyblVy7WWGoM86431Xu5QZY,Square Terminal 4334,,https://app.squareup.com/dashboard/sales/transactions/JqDTNjSJQX6EG6yi1MwtPEcuY6fZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,ZVIJ6RCCAAWVDHOYXXN3NLXZ,Visa,7760
2025-06-18,07:39:03,Arizona,Specialty Espresso,The Triple C,1.0,Regular,,"Iced 24 oz, Whole, Extra sweet",US$8.00,US$0.00,US$8.00,US$0.45,JqDTNjSJQX6EG6yi1MwtPEcuY6fZY,DPv2R4RyblVy7WWGoM86431Xu5QZY,Square Terminal 4334,"Chocolate, Coconut, Caramel + topped with Coconut Cold foam & Caramel Drizzle",https://app.squareup.com/dashboard/sales/transactions/JqDTNjSJQX6EG6yi1MwtPEcuY6fZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,2AQGXW6H3FPWOTN5ZTAE2PGQ,Visa,7760
2025-06-18,07:26:32,Arizona,Specialty Espresso,The Triple C,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,US$0.00,US$7.50,US$0.42,39RrzS7LO6yiuStFbwj9kWW8XiMZY,5QC4U3XRiH6Gw8bQatTi5VcVs1OZY,Square Terminal 4334,"Chocolate, Coconut, Caramel + topped with Coconut Cold foam & Caramel Drizzle",https://app.squareup.com/dashboard/sales/transactions/39RrzS7LO6yiuStFbwj9kWW8XiMZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,2AQGXW6H3FPWOTN5ZTAE2PGQ,,
2025-06-18,07:06:23,Arizona,Specialty Espresso,#BASIC,1.0,Regular,,"Iced 24 oz, 1x shot, Whole",US$8.50,US$0.00,US$8.50,US$0.48,ReLfr9sh2D4OGCJXWUbYd3DLthNZY,luGEmZMb8dJvhzu0h6R3T58uNjQZY,Square Terminal 4334,"Caramel, Vanilla + topped with Vanilla Cold Foam & Sea Salt Caramel Drizzle",https://app.squareup.com/dashboard/sales/transactions/ReLfr9sh2D4OGCJXWUbYd3DLthNZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,ACO2COLLPSGAV6ZTWOUEJCQR,Visa,6912
2025-06-18,07:05:31,Arizona,Non-coffee,Matcha Latte,1.0,Regular,,"Iced 24 oz, Almond millk, Vanilla CF",US$8.00,US$0.00,US$8.00,US$0.45,fD8SE3oZQycE1TzoN4w1SIBfLICZY,JEwwYWGjhkAXWFGTSsNf8PQwkQZZY,Square Terminal 4334,Comes sweetened with vanilla unless specified,https://app.squareup.com/dashboard/sales/transactions/fD8SE3oZQycE1TzoN4w1SIBfLICZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,QDPHO3A4RSZT5VAWBHDUE2IP,Visa,4105
2025-06-18,07:03:44,Arizona,June specials,Sour cactus punch,1.0,Regular,,,US$6.00,-US$0.44,US$5.56,US$0.31,XRXP0QJBxkhap8fO7yrIJdv5Ry7YY,jB2R1KdcTgNjcwr5UMQVZNmQcXNZY,Square Terminal 4334,Lemonade with sour candy syrup and a sour candy on top,https://app.squareup.com/dashboard/sales/transactions/XRXP0QJBxkhap8fO7yrIJdv5Ry7YY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,ZXD266PE54JHR1DJ8M16R48S8R,,,ea,1,Physical Good,,Toasted Bean Coffee,RBK44BG3QX2KUDLIZHXBW3AH,Visa,4674
2025-06-18,07:03:44,Arizona,Specialty Espresso,The Triple C,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,-US$0.56,US$6.94,US$0.39,XRXP0QJBxkhap8fO7yrIJdv5Ry7YY,jB2R1KdcTgNjcwr5UMQVZNmQcXNZY,Square Terminal 4334,"Chocolate, Coconut, Caramel + topped with Coconut Cold foam & Caramel Drizzle",https://app.squareup.com/dashboard/sales/transactions/XRXP0QJBxkhap8fO7yrIJdv5Ry7YY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,ZXD266PE54JHR1DJ8M16R48S8R,,,ea,1,Physical Good,,Toasted Bean Coffee,2AQGXW6H3FPWOTN5ZTAE2PGQ,Visa,4674
2025-06-16,11:03:39,Arizona,Specialty Espresso,#BASIC,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,-US$7.50,US$0.00,US$0.00,HRJOtRQXgyHFkpUVwxO5iSYAmvGZY,bBuAV7syVAy5zhkXqqBKarwkbjHZY,Square Terminal 4334,Trade its free,https://app.squareup.com/dashboard/sales/transactions/HRJOtRQXgyHFkpUVwxO5iSYAmvGZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,ACO2COLLPSGAV6ZTWOUEJCQR,,
2025-06-16,10:55:59,Arizona,Espresso Basics,Mocha,1.0,Regular,,"Iced 24 oz, Whole, Vanilla CF",US$7.50,US$0.00,US$7.50,US$0.42,pmzc0cs0x1CYTnrD6ch9MIhicZUZY,X9fLoONgPM7tKwWVN5AklsPrHlNZY,Square Terminal 4334,,https://app.squareup.com/dashboard/sales/transactions/pmzc0cs0x1CYTnrD6ch9MIhicZUZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,RT5A3DSK5CLEEN2MCW5HJOZ2,,
2025-06-16,10:55:10,Arizona,Specialty Espresso,Grandma's Strawberry Pancakes,1.0,Regular,,"Iced 24 oz, 1x shot, Oat milk",US$9.00,US$0.00,US$9.00,US$0.51,xUICxHrKD2hAwydvooW2zjycLeHZY,zVO2bCHUvAuIyboDDyA8edJVlvMZY,Square Terminal 4334,"Maple Pancake, White Chocolate, Strawberry + topped with Strawberry Maple Cold Foam",https://app.squareup.com/dashboard/sales/transactions/xUICxHrKD2hAwydvooW2zjycLeHZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,FBCSGW4MBDXVC7APZRA3AAG7FG,Vanessa Gomez,,ea,1,Physical Good,,Toasted Bean Coffee,FTJZC4O7MEVIXGKNYZIXVNIX,Visa,8338
2025-06-16,10:55:10,Arizona,Specialty Energy Drinks,East Valley,1.0,Regular,,,US$7.00,US$0.00,US$7.00,US$0.39,xUICxHrKD2hAwydvooW2zjycLeHZY,zVO2bCHUvAuIyboDDyA8edJVlvMZY,Square Terminal 4334,SF Red base with cherry & lime,https://app.squareup.com/dashboard/sales/transactions/xUICxHrKD2hAwydvooW2zjycLeHZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,FBCSGW4MBDXVC7APZRA3AAG7FG,Vanessa Gomez,,ea,1,Physical Good,,Toasted Bean Coffee,74FQGVDU4XBI7SEMKIQSEP2P,Visa,8338
2025-06-16,10:47:27,Arizona,Specialty Espresso,The Triple C,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,-US$0.50,US$7.00,US$0.39,JOjMvkuh0AyTKXv3mlU5I9lGwtVZY,xQePn8QAW4A1nNLVrZu3bMyCSLXZY,Square Terminal 4334,"Chocolate, Coconut, Caramel + topped with Coconut Cold foam & Caramel Drizzle",https://app.squareup.com/dashboard/sales/transactions/JOjMvkuh0AyTKXv3mlU5I9lGwtVZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,2AQGXW6H3FPWOTN5ZTAE2PGQ,Visa,6472
2025-06-16,10:44:39,Arizona,June specials,Banana puddin,1.0,Regular,,"Iced 24 oz, Whole",US$8.00,US$0.00,US$8.00,US$0.45,fxRhZKmikyXjBZKXhi0s7QKgmkLZY,PnGxv0w3UfQ7x7alvbhNx7qnKHSZY,Square Terminal 4334,"Latte with banana, white choco, brown sugar cinnamon, and sea salt with banana cold foam and graham cracker",https://app.squareup.com/dashboard/sales/transactions/fxRhZKmikyXjBZKXhi0s7QKgmkLZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,XHHDSCWYN73V7JCYMJYCNCYJ,,
2025-06-16,10:44:39,Arizona,June specials,Raspberry rush chai,1.0,Regular,,"Iced 24 oz, Whole",US$8.00,US$0.00,US$8.00,US$0.45,fxRhZKmikyXjBZKXhi0s7QKgmkLZY,PnGxv0w3UfQ7x7alvbhNx7qnKHSZY,Square Terminal 4334,"Chai with raspberry, vanilla cold foam and edible flowers on top",https://app.squareup.com/dashboard/sales/transactions/fxRhZKmikyXjBZKXhi0s7QKgmkLZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,LJPYGYHBNK7N3H45PCJTZ3PP,,
2025-06-16,10:29:33,Arizona,June specials,Banana puddin,1.0,Regular,,"Iced 24 oz, Whole",US$8.00,-US$8.00,US$0.00,US$0.00,N6M8QtnJFIJToJHrkx5trQcKYDZZY,1WYvfd1KeXJ7k6vkLnxho7TiO7AZY,Square Terminal 4334,"Latte with banana, white choco, brown sugar cinnamon, and sea salt with banana cold foam and graham cracker",https://app.squareup.com/dashboard/sales/transactions/N6M8QtnJFIJToJHrkx5trQcKYDZZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,RGHF88N8C11M6A68X4A5DF5N1G,,,ea,1,Physical Good,,Toasted Bean Coffee,XHHDSCWYN73V7JCYMJYCNCYJ,Visa,8397
2025-06-16,10:29:33,Arizona,June specials,Banana puddin,2.0,Regular,,"Iced 24 oz, Whole",US$16.00,US$0.00,US$16.00,US$0.90,N6M8QtnJFIJToJHrkx5trQcKYDZZY,1WYvfd1KeXJ7k6vkLnxho7TiO7AZY,Square Terminal 4334,"Latte with banana, white choco, brown sugar cinnamon, and sea salt with banana cold foam and graham cracker",https://app.squareup.com/dashboard/sales/transactions/N6M8QtnJFIJToJHrkx5trQcKYDZZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,RGHF88N8C11M6A68X4A5DF5N1G,,,ea,2,Physical Good,,Toasted Bean Coffee,XHHDSCWYN73V7JCYMJYCNCYJ,Visa,8397
